tau,variable,coef,se,pvalue,pseudo_r2
0.9,age_head,0.0004353282137203331,0.0003061629260691849,0.15505988347427424,0.042633208798347644
0.9,age_head_sq,-1.3650440307788818e-06,3.327755368963759e-06,0.6816595101539455,0.042633208798347644
0.9,female_head,0.0010505207723024764,0.0012939606008329774,0.4168693439128528,0.042633208798347644
0.9,educ_years,-4.71602123903749e-05,0.00014343602672286924,0.7423150483531256,0.042633208798347644
0.9,hh_size,-0.0008399459392339336,0.00047633675477018125,0.07784235380478566,0.042633208798347644
0.9,children_u5,0.004507309934865311,0.0014611972082300315,0.0020377870498511363,0.042633208798347644
0.9,elderly_65,0.009600277198603669,0.002246445079127909,1.9239210008459295e-05,0.042633208798347644
0.9,rural,0.0014717988926779436,0.001699511493878351,0.38648308267171716,0.042633208798347644
0.9,hospitalized,-4.9868155981063385e-14,3.2882909859223146e-11,0.9987899788476249,0.042633208798347644
0.9,chronic_any,0.013375042816051005,0.0028046783154398566,1.8529608070139147e-06,0.042633208798347644
0.9,dept_11,0.012801741796401006,0.0037036154788154503,0.0005471323688082119,0.042633208798347644
0.9,dept_12,0.0013578626843560176,0.004107494961169051,0.7409604678290498,0.042633208798347644
0.9,dept_13,0.02147119632200778,0.006628961010805352,0.0011995010587337873,0.042633208798347644
0.9,dept_14,0.034602961434284124,0.006407830050206872,6.660153606397046e-08,0.042633208798347644
0.9,dept_15,0.004999392773966646,0.0036559926713546327,0.17148381983909755,0.042633208798347644
0.9,dept_16,-0.016595014914951717,0.0032251952696909086,2.6690941412610414e-07,0.042633208798347644
0.9,dept_17,-0.01971605736312107,0.004979754051568428,7.518764247782528e-05,0.042633208798347644
0.9,dept_18,-0.023185184041648932,0.0032532334614648003,1.0271783423831948e-12,0.042633208798347644
0.9,dept_19,-0.0011392390506961836,0.0037964521464544606,0.7641161964688725,0.042633208798347644
0.9,dept_20,0.011490198467770524,0.004763690930064695,0.01586367441730996,0.042633208798347644
0.9,dept_21,0.006820177708995179,0.003997676397298122,0.08800147681822135,0.042633208798347644
0.9,dept_22,0.008579291121628627,0.006588522594446316,0.19286270532882854,0.042633208798347644
0.9,dept_23,-0.011846784050651121,0.0037951967214273114,0.001799197719256851,0.042633208798347644
0.9,dept_24,0.009490877116794638,0.00895089931125265,0.2889960173348034,0.042633208798347644
0.9,dept_25,-0.003794519387569223,0.004487095190042261,0.39774711093585324,0.042633208798347644
0.9,dept_30,-0.014065819477079522,0.00399850551638656,0.0004351907204009908,0.042633208798347644
0.9,dept_40,0.00044363764943508577,0.004725800679528219,0.9252079303515375,0.042633208798347644
0.9,dept_50,-0.007187597132439855,0.0050207736555035335,0.1522664532678173,0.042633208798347644
0.9,dept_51,-0.014062296637152083,0.009937595586730057,0.15705082736653586,0.042633208798347644
0.9,dept_60,0.023774619810089076,0.0059722494602429425,6.866973107966245e-05,0.042633208798347644
0.9,dept_61,0.06078966226133395,0.02029626290683124,0.0027434046672218937,0.042633208798347644
0.9,dept_70,-0.0018482243914043905,0.004572974996231138,0.686093326577409,0.042633208798347644
0.9,dept_80,-0.011839681183659148,0.005249780862269509,0.024116292099569447,0.042633208798347644
0.9,dept_81,-0.017580960852121325,0.005362931418422979,0.0010445760823720729,0.042633208798347644
0.9,dept_90,-0.017336558912447203,0.0038518676660725046,6.769215257884653e-06,0.042633208798347644
