W2_WeightSocDemTurnAttrition	region	age	gender	W1_news_socmed	W1_news_important	W1_news_notime	W1_news_toomuch	W1_news_switchaway	W1_news_notinteresting	W2_news_socmed	W2_news_important	W2_news_notime	W2_news_toomuch	W2_news_switchaway	W2_news_notinteresting	congruence	congruence_EU	avoidance	education	interest	knowledge	internal_efficacy	external_efficacy	avoidance_alt	sample
2.4212348	0.0	70	0	1	2	1	3	1	1	4	2	2	3	1	4	0.95628405	4.742882	1.5	0	1.0	2.0	1.0	1.0	-1.0735252	1.0
	0.0	47	1	2	2	3	3	1	2									2.1666667	2	10.0	4.0	4.0	4.0	-0.3598055	
	0.0	69	1	3	1	2	1	1	1	4	2	1	1	1	2	2.043716	2.043716	1.5	1	6.0	3.0	3.5	1.5	-1.1291574	1.0
0.3801793	0.0	70	0	2	2	2	4	1	1	1	1	3	3	1	1	3.043716	0.7428818	2.0	2	8.0	3.0	5.0	2.5	-0.5977242	1.0
1.066007	0.0	74	0	2	2	4	1	3	2	1	3	2	2	2	4	2.956284	2.956284	2.3333333	2	3.0	2.0	1.0	1.0	-0.19717029	1.0
	0.0	79	1	1	2	4	4	1	2	1	2	1	1	3	2	4.5556517	4.5556517	2.3333333	1	5.0	1.0	2.0	1.0	-0.18536359	1.0
	0.0	67	0	2	1	1	2	1	1									1.3333334	1	8.0	4.0	1.5	2.5	-1.2646505	
0.24420218	0.0	76	1	4	1	3	4	1	2	3	1	2	4	1	2	1.0480299	0.68478584	2.5	2	8.0	4.0	2.0	1.0	-0.05994304	1.0
	0.0	79	1	1	2	3	3	1	2		2	2	3	1	2			2.0	2	7.0	2.0	2.5	2.0	-0.51048505	
1.7007476	0.0	74	1	1	1	2	2	1	1	1	1	2	3	2	3	0.39948225	0.39948225	1.3333334	0	8.0	2.0	5.0	4.5	-1.2603625	1.0
0.5081756	0.0	53	1	1	1	1	4	1	1	3	3	3	3	1	4	1.956284	1.956284	1.5	2	7.0	2.0	4.0	3.0	-1.075022	1.0
0.51237726	0.0	70	1	1	2	2		1	2	1	1	1	2	1	1	2.043716	0.0480299		1	8.0	3.0		2.5		
	0.0	69	1	2	2	3	3	2	2									2.3333333	2	6.0	4.0	1.5	4.5	-0.18581758	
	0.0	53	1	2	2	3	4	1	2	3	2	3	4	2	4	0.7428818	1.99281	2.3333333	1	5.0	1.0	2.5	2.0	-0.18965146	1.0
	0.0	51	0	4	1	5	5	1	1	3	1	4	4	2	2	0.31521416	0.31521416	2.8333333	2	8.0	4.0	5.0	4.0	0.16704059	1.0
1.1282328	0.0	45	0	2	1	1	2	1	1	1	1	2	1	5	2	3.043716	0.7428818	1.3333334	2	10.0	4.0	5.0	5.0	-1.2646505	1.0
	0.0	71	1	1	1	1	1	1	1									1.0	2	9.0	3.0	4.0	4.0	-1.585484	
	0.0	60	1	4	5			4	1	4	5	2		3					2	0.0	1.0		1.0		
